Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Weekday,Hour,Month,Days_Since_Claim,Status_Code,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Days_To_Expiry,Is_Expired,Meal_Type_Code,Food_Type_Code,Name,Type,Address,City,Contact,Type_Code,City_Name_Length,Address_Length,Name_Receiver,Type_Receiver,City_Receiver,Contact_Receiver,Type_Code_Receiver,City_Name_Length_Receiver,Contact_Length
1,164,908,Pending,2025-03-05 05:26:00,Wednesday,5,March,161,2,Dairy,22,2025-03-27,432,Restaurant,Carolchester,Vegan,Dinner,-140,True,1,1,Meyer And Sons,Restaurant,"08209 Eaton Streets Apt. 968
South Laurenside, RI 88383",Carolchester,001-738-662-6338,2,12,55,Abigail Crawford,Ngo,Lake Shawn,010152-8668,2,10,11
2,353,391,Cancelled,2025-03-11 10:24:00,Tuesday,10,March,155,0,Fruits,5,2025-03-29,418,Restaurant,Deborahfurt,Non-vegetarian,Lunch,-138,True,2,0,"Schwartz, Odonnell And Padilla",Restaurant,"23011 Barnett Falls Apt. 524
West Cameron, WY 52614",Deborahfurt,955-658-8107x92494,2,11,51,Regina Munoz,Ngo,Lake Clinton,5859553149,2,12,10
3,626,492,Completed,2025-03-21 00:59:00,Friday,0,March,145,1,Salad,37,2025-03-29,274,Supermarket,New Dawnborough,Non-vegetarian,Breakfast,-138,True,0,0,Shields-Moore,Supermarket,"922 Bailey Overpass Suite 885
New William, VA 50509",New Dawnborough,9332911651,3,15,51,Julie Lewis,Ngo,South Steven,557352-3497x4606,2,12,16
4,61,933,Cancelled,2025-03-04 09:08:00,Tuesday,9,March,162,0,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,-145,True,2,2,Davis-Hurley,Catering Service,"687 Sparks Forks
East Patricia, NC 25546",West Catherine,172389-0239x87614,0,14,40,Jodi Lee,Ngo,West Paulfort,3517962649,2,13,10
5,345,229,Pending,2025-03-14 15:17:00,Friday,15,March,152,2,Pasta,14,2025-03-20,346,Grocery Store,Thomasville,Vegan,Lunch,-147,True,2,1,"Phillips, Wolfe And Martin",Grocery Store,"Unit 1376 Box 6294
DPO AE 62072",Thomasville,001-548-413-4962,1,11,31,Tina Watkins,Shelter,Bushview,7774795306,3,8,10
6,273,607,Cancelled,2025-03-02 02:50:00,Sunday,2,March,164,0,Salad,32,2025-03-16,446,Catering Service,Port Richardshire,Non-vegetarian,Lunch,-151,True,2,0,Nichols-Barnes,Catering Service,"PSC 0287, Box 6878
APO AP 95472",Port Richardshire,507-731-3315,0,17,31,Sean Wolf,Ngo,Mcfarlandhaven,490913-7034x400,2,14,15
7,735,256,Cancelled,2025-03-07 23:58:00,Friday,23,March,159,0,Fish,2,2025-03-19,459,Supermarket,Castilloport,Non-vegetarian,Snacks,-148,True,3,0,Brown Ltd,Supermarket,"8358 Randy Mission
Markmouth, SC 03456",Castilloport,1646996716,3,12,38,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,1,15,19
8,382,900,Pending,2025-03-05 07:07:00,Wednesday,7,March,161,2,Salad,42,2025-03-20,208,Restaurant,East Garyton,Non-vegetarian,Dinner,-147,True,1,0,"Miller, Johnson And Fernandez",Restaurant,"228 Kathryn Mountains Suite 986
Cortezmouth, IA 90538",East Garyton,9857900081x8718,2,12,53,Hannah Reynolds,Charity,East Kevinberg,731-040-5330x77836,0,14,18
9,278,807,Completed,2025-03-18 02:26:00,Tuesday,2,March,148,1,Soup,35,2025-03-24,66,Restaurant,Lake Michaelfurt,Non-vegetarian,Lunch,-143,True,2,0,Lambert-Wilson,Restaurant,"2162 Johnson Field
East Caroline, AZ 13953",Lake Michaelfurt,+1-552-690-1512x083,2,16,42,Taylor Miller,Ngo,Josephside,+1-022-270-5486x316,2,10,19
10,669,975,Completed,2025-03-06 19:57:00,Thursday,19,March,160,1,Vegetables,14,2025-03-27,164,Grocery Store,Sylviabury,Vegetarian,Dinner,-140,True,1,2,Yu-Rodriguez,Grocery Store,"144 Armstrong Viaduct Apt. 561
East Ericchester, UT 19438",Sylviabury,0175902372,1,10,57,Danielle Bullock,Individual,Amandafurt,888253-9476x2056,1,10,16
