Receiver_ID,Name,Type,City,Contact,Type_Code,City_Name_Length,Contact_Length
1,Donald Gomez,Shelter,Port Carlburgh,955922-5295,3,14,11
2,Laurie Ramos,Individual,Lewisburgh,7610421570,1,10,10
3,Ashley Mckee,Ngo,South Randalltown,691-023-0094x856,2,17,16
4,Erika Rose,Ngo,South Shaneville,8296491111,2,16,10
5,John Romero,Individual,Bakerport,0674910154,1,9,10
6,Mandy Sutton Phd,Shelter,East Sharimouth,682-777-5357,3,15,12
7,Kenneth Baker,Ngo,South Edwinborough,126-645-6386x4071,2,18,17
8,James Perez,Charity,Benjaminburgh,+1-986-748-6688,0,13,15
9,Emily Turner,Shelter,West Robert,001-631-022-6157x520,3,11,20
10,Mary Salazar,Ngo,Wrightland,001-187-333-7518x11395,2,10,22
11,Amber Pacheco,Individual,South Gregorymouth,+1-155-960-7276,1,18,15
12,Jennifer Bishop,Ngo,Katherineside,+1-801-363-6355x49805,2,13,21
13,Jamie Sutton,Shelter,Lake Matthewstad,001-176-847-8920x2687,3,16,21
14,Brian Fischer,Shelter,Burkeside,947-041-3246x326,3,9,16
15,Donald Kelly,Ngo,Port Ronald,935798-5303,2,11,11
16,Elizabeth Lewis,Ngo,Port Tara,5003863867x7565,2,9,15
17,Melissa Castillo,Ngo,Silvaport,699232-9544,2,9,11
18,Lisa Williams,Ngo,Moranhaven,360-505-5780x95688,2,10,18
19,Courtney Sanders,Ngo,North Cynthiaberg,001-083-754-0501,2,17,16
20,George Palmer,Ngo,Sandrahaven,7448386083,2,11,10
21,Emily Davidson,Ngo,Jonesside,001-893-473-0769x51510,2,9,22
22,Kristina Meza,Shelter,Lake Nicole,+1-125-160-0319,3,11,15
23,Kurt Ward,Individual,Aliciabury,479-035-9976x19919,1,10,18
24,Tammy Moore,Individual,Monicafort,7211055278,1,10,10
25,Lisa Mcclain,Ngo,Lake Elizabeth,292-153-9082x59361,2,14,18
26,Kimberly Lindsey,Charity,Port Matthewmouth,+1-979-511-1434x565,0,17,19
27,Johnny Page,Ngo,Susanfurt,2519222940,2,9,10
28,Mary Franklin,Individual,Courtneyfurt,001-046-188-9986x12178,1,12,22
29,Nicholas Robinson,Ngo,Lake Kendra,930-104-8973x8326,2,11,17
30,Bruce Sanchez,Shelter,North Heather,5984591819x6171,3,13,15
31,Rose Powell,Ngo,Spencermouth,247-152-7297x648,2,12,16
32,Audrey Perez,Individual,Taylorfort,637-025-7736,1,10,12
33,Anita Kerr,Ngo,Walshfort,568992-9509,2,9,11
34,Megan Alvarez,Individual,North Robert,6244329386,1,12,10
35,James Castaneda,Shelter,South Rachaelhaven,932-277-2945x55052,3,18,18
36,Teresa Davis,Charity,Olsonville,001-737-507-3051x34768,0,10,22
37,Angel Adams,Shelter,West Erik,+1-785-849-9596x994,3,9,19
38,Alexander Mullins,Charity,Josephview,248481-7680,0,10,11
39,John Ramirez,Shelter,Moorechester,859701-8773,3,12,11
40,Abigail Davis,Individual,West Carrie,307825-3197,1,11,11
41,Julia Elliott,Shelter,Port Kellyburgh,+1-613-882-6551x33036,3,15,21
42,Maria Jacobs,Ngo,Port Dawntown,225019-8954,2,13,11
43,Bobby Perry,Charity,Amberfort,020628-9733x57055,0,9,17
44,Andrew Lawson,Shelter,Davisborough,6225667870,3,12,10
45,Derek Potter,Charity,South Laurachester,497-372-7517x026,0,18,16
46,Kevin Lee,Charity,East Teresahaven,3542538089,0,16,10
47,Taylor Dean,Shelter,Moorechester,297-100-5658,3,12,12
48,Jennifer Graham,Individual,East Saraport,001-979-746-0394x487,1,13,20
49,Gabriel Nicholson,Charity,South Tonyaborough,030-052-3339x1285,0,18,17
50,Brian Gonzales,Ngo,North Sarah,001-241-438-2803x907,2,11,20
51,Timothy Clark,Charity,Port Johnchester,217-662-1143x941,0,16,16
52,Cheryl Dillon,Ngo,Hornemouth,3501461578,2,10,10
53,Cassandra Owens,Shelter,Tomburgh,001-813-193-7735x105,3,8,20
54,Veronica Howard,Ngo,Higginsmouth,517632-2362x07333,2,12,17
55,Erika Rodriguez,Shelter,Larastad,001-732-132-0041x81457,3,8,22
56,Deborah Smith,Individual,Jasonshire,9960394276x36961,1,10,16
57,Christopher Lozano,Individual,New Mary,217-827-0862,1,8,12
